"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"pred[114]",0.01464938846958,-2.22312e-05,0.000284783180596836,142.8,0.95,-0.00556406,0.00047585,NA,NA,NA,NA,NA,NA,NA
"pred[115]",3.10140144,3,2.99611256219655,91.1,0.95,2.99638,3.01041,NA,NA,NA,NA,NA,NA,NA
"pred[116]",-0.005384167076088,3.06156e-06,1.53536547484179e-05,96.5,0.95,-0.000396098,0.00216307,NA,NA,NA,NA,NA,NA,NA
"pred[117]",0.04101391184046,7.36088e-06,-0.00228813031347944,110.5,0.95,-0.00213633,0.000514018,NA,NA,NA,NA,NA,NA,NA
"pred[118]",-0.01060643637696,3.686665e-06,0.000406293910709449,87.1,0.95,-0.00284454,0.000298462,NA,NA,NA,NA,NA,NA,NA
"pred[119]",-0.024831050433172,-7.88031e-06,0.000833742955804061,88.5,0.95,-0.00326253,0.000715853,NA,NA,NA,NA,NA,NA,NA
"pred[120]",-0.02574936497381,-3.907035e-06,-0.000306394356949458,101.6,0.95,-0.000388801,0.00306752,NA,NA,NA,NA,NA,NA,NA
"pred[121]",-0.002188019185872,-8.31704e-06,2.11325010404106e-05,118.4,0.95,-0.00414212,0.000277298,NA,NA,NA,NA,NA,NA,NA
"pred[122]",-0.033388936678552,-2.801045e-05,0.000494661649247994,94.5,0.95,-0.0100933,0.000380517,NA,NA,NA,NA,NA,NA,NA
"pred[123]",-0.0401196277260024,-1.251521e-07,0.00117902211824137,106.3,0.95,-0.00274355,0.00108008,NA,NA,NA,NA,NA,NA,NA
"pred[124]",-0.0237500834008794,-1.727655e-05,0.000495477264453742,123.3,0.95,-0.00141011,0.00038222,NA,NA,NA,NA,NA,NA,NA
"pred[125]",0.0189567671486218,9.967265e-06,-0.000625826523452811,111.4,0.95,-0.000505689,0.00263601,NA,NA,NA,NA,NA,NA,NA
"pred[126]",0.005685626709172,-8.76442e-06,-0.000341280584267234,133.6,0.95,-0.000511213,0.000453704,NA,NA,NA,NA,NA,NA,NA
"pred[127]",0.022353623345084,-8.29732e-07,-0.00117246790571455,98.3,0.95,-0.00105645,0.00128107,NA,NA,NA,NA,NA,NA,NA
"pred[128]",-0.001690522993682,-3.31892e-06,0.000173686572931875,324.7,0.95,-0.00194991,0.00042498,NA,NA,NA,NA,NA,NA,NA
"pred[129]",0.031308666454334,2.06169e-05,-0.000858744229013083,98,0.95,-0.000653469,0.00523238,NA,NA,NA,NA,NA,NA,NA
"pred[130]",-0.01295288800104,-7.29155e-06,3.82003873109493e-05,86.8,0.95,-0.000475841,0.00165288,NA,NA,NA,NA,NA,NA,NA
"pred[131]",3.03220658,3.00001,2.99867180578727,88.8,0.95,2.9989,3.00444,NA,NA,NA,NA,NA,NA,NA
"pred[132]",-0.025826944162602,-1.363895e-05,0.00128670951339606,93.1,0.95,-0.00254117,0.00115307,NA,NA,NA,NA,NA,NA,NA
"pred[133]",-0.00087361944143,-1.99335e-05,-2.28353196058129e-05,172.6,0.95,-0.0020873,0.000276025,NA,NA,NA,NA,NA,NA,NA
"pred[134]",0.037218412556298,1.63679e-05,-0.0020348886730387,93.6,0.95,-0.00190909,0.00224863,NA,NA,NA,NA,NA,NA,NA
"pred[135]",0.078116318382924,9.881005e-06,-0.00180872647663175,98,0.95,-0.00165695,0.00925901,NA,NA,NA,NA,NA,NA,NA
"pred[136]",-0.000102480917444,9.13925e-06,-2.42656424567916e-05,443.1,0.95,-0.000318901,0.00107992,NA,NA,NA,NA,NA,NA,NA
"pred[137]",-0.013083309980442,5.035805e-06,0.000663214102787801,99.5,0.95,-0.000293502,0.00474227,NA,NA,NA,NA,NA,NA,NA
"pred[138]",-0.0293353495224558,-1.8243245e-07,0.00237004506399066,101.9,0.95,-0.000329491,0.00226791,NA,NA,NA,NA,NA,NA,NA
"pred[139]",0.0528613444571878,1.128315e-05,-0.00209482493005271,102.9,0.95,-0.00197907,0.00326564,NA,NA,NA,NA,NA,NA,NA
"pred[140]",0.052775755977622,-1.903265e-05,-0.0026692344767644,82.5,0.95,-0.00251785,0.00505442,NA,NA,NA,NA,NA,NA,NA
"pred[141]",-0.0223365552612,-5.91498e-06,0.000950950362212916,93.1,0.95,-0.00214601,0.000844329,NA,NA,NA,NA,NA,NA,NA
"pred[142]",0.05393281721128,-7.663795e-06,-0.00110337001826191,81.2,0.95,-0.000914096,0.0113531,NA,NA,NA,NA,NA,NA,NA
"pred[143]",0.0041653696801232,7.14669e-06,0.000203841089788884,88.8,0.95,-0.000378351,0.00357827,NA,NA,NA,NA,NA,NA,NA
"pred[144]",-0.055777377181076,-2.37522e-06,0.00229847153048891,85.9,0.95,-0.0055501,0.00212725,NA,NA,NA,NA,NA,NA,NA
