"Name.Id","Brownlow.Votes"
"Bosenavulagi, Atu, 2020661983",0
"Phillips, Will, 2021802041",0
"Frederick, Martin, 2021707277",0
"Mayes, Sam, 2013773131",0
"Williams, Dylan, 2021872465",0
"Daniels, Brent, 2018682126",0
"Grainger-Barras, Denver, 2021716124",0
"Shuey, Luke, 2010833473",0
"Richards, Ed, 2018824626",0
"Dow, Thomson, 2020682831",0
"Vandenberg, Aaron, 2015861428",0
"Hately, Jackson, 2019721038",0
"Pedlar, Luke, 2021804782",0
"Witherden, Alex, 2017878846",0
"Ford, Eddie, 2021709219",0
"Brown, Ben, 2014665536",0
"Davis, Ben, 2019683521",0
"Gleeson, Martin, 2014717758",0
"Banfield, Bailey, 2018667843",0
"Jeka, Emerson, 2021743898",0
"Kent, Dean, 2013759685",0
"Hogan, Jesse, 2015723350",0
"ORiordan, Colin, 2018799068",0
"Ugle-Hagan, Jamarra, 2021858050",0
"Kelly, Will, 2020753223",0
"Garthwaite, Ryan, 2018714804",0
"Stack, Sydney, 2019838360",0
"Parker, Matthew, 2019801558",0
"McEntee, Jed, 2021779675",0
"Durham, Sam, 2021684001",0
"Himmelberg, Elliott, 2018722651",0
"West, Connor, 2021872717",0
"Ronke, Ben, 2018822289",0
"Ginnivan, Jack, 2021716435",0
"Tohill, Anton, 2021849623",0
"Anderson, Jed, 2013651330",0
"Cockatoo, Nakia, 2015671937",0
"Hutchings, Mark, 2013728891",0
"Schache, Josh, 2016839938",0
"Curnow, Charlie, 2016676081",0
"Wood, Easton, 2009879614",0
"Kreuger, Nathan, 2021754613",0
"Jeffrey, Joel, 2021743503",0
"Bowey, Jake, 2021666343",0
"Clarke, Dylan, 2018673109",0
"Peatling, James, 2021802858",0
"Evans, Francis, 2021698799",0
"Ling, Matt, 2020762867",0
"Chapman, Heath, 2021673890",0
"Frederick, Michael, 2020708891",0
"Shipley, Nick, 2018835317",0
"Townsend, Jacob, 2012849499",0
"Rioli, Maurice, 2021824998",0
"Cook, Brayden, 2021678665",0
"Joyce, Darragh, 2018741884",0
"Durdin, Corey, 2021688595",0
"Kemp, Brodie, 2021756692",0
"McGovern, Mitch, 2016777178",0
"Simpson, Sam, 2017831987",0
"Hannebery, Dan, 2009726698",0
"Gardiner, Darcy, 2014713583",0
"Comben, Charlie, 2021671581",0
"Melican, Lewis, 2017773724",0
"Strachan, Kieran, 2020831323",0
"Smith, Joel, 2017838949",0
"Miller, Ben, 2021778136",0
"Davies, Alex, 2021689563",0
"Harbrow, Jarrod, 2007728751",0
"Gollant, Lachlan, 2021712671",0
"Spicer, Phoenix, 2021835338",0
"Ballenden, Connor, 2020661851",0
"Hayden, Kyron, 2019727565",0
"Eggmolesse-Smith, Derek, 2019699470",0
"Carlisle, Jake, 2010679948",0
"Winder, Isiah, 2021875898",0
"Greenwood, Levi, 2009711665",0
"Stone, Conor, 2021833557",0
"Sturt, Sam, 2020834823",0
"Hartley, Michael, 2016725811",0
"Keane, Mark, 2020753798",0
"Cavarra, Ben, 2020677310",0
"Reid, Zach, 2021825839",0
"Brown, Mitch, 2011669981",0
"De Koning, Sam, 2021689846",0
"Jong, Lin, 2012745000",0
"Ainsworth, Brayden, 2018658021",0
"Cuningham, David, 2016678303",0
"Maginness, Finn, 2020773698",0
"Gunston, Jack, 2010713968",0
"Bryan, Nick, 2021669724",0
"Khamis, Buku, 2021753591",0
